hidden_layer_sizes,lambda_reg,activation,initialization_mode,avg_val_mape,avg_val_reg_error,avg_initial_loss,avg_final_loss,avg_initial_train_mape,avg_final_train_mape,avg_iterations,avg_optimization_time_seconds,success_rate,unique_messages
"[32, 16]",0.001,relu,he,23.44447703906937,97.88557404681058,1668.6996742763527,97.60416612658851,99.3638965424132,23.407856333432207,42.8,2.2768073081970215,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[32, 16]",0.001,relu,xavier,23.416936260253927,97.83607845785627,1654.8773718845762,97.62725118266329,98.77627845867039,23.37985334000021,41.0,2.555920362472534,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[32, 16]",0.001,tanh,he,23.324458787676225,98.18226980997615,1675.0137224717378,96.99708671462727,99.82917792841208,23.184298672289334,76.8,2.6458597660064695,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[32, 16]",0.001,tanh,xavier,23.45790639339132,98.77568395807802,1679.4300813325026,97.82288583002575,100.06353106999549,23.363705195920048,69.8,2.708135986328125,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[32, 16]",0.001,swish,he,23.641697316478414,98.02685356900284,1690.664139178311,97.9548054489052,99.67621510824726,23.610324034022902,47.0,3.0471840858459474,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[32, 16]",0.001,swish,xavier,23.439057281871953,98.14686619718483,1668.7805877319074,98.02559682677011,99.79156754700666,23.41338201052806,45.2,4.047631120681762,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[32, 16]",0.01,relu,he,23.366864202665,98.55586137795123,1731.9545868804998,98.30865751178104,102.74615432640181,23.33120188736344,50.2,2.4480876445770265,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[32, 16]",0.01,relu,xavier,23.361556600852296,98.21642664442759,1682.7534021622287,97.90450919448327,100.18439391502213,23.33259497760268,48.6,2.6017383098602296,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[32, 16]",0.01,tanh,he,23.368822840695962,101.2081751205144,1673.108078854514,100.41202927489915,99.58396149829503,23.27242952686993,102.6,3.191147470474243,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[32, 16]",0.01,tanh,xavier,23.306256944969697,101.93128410051398,1673.6585688661467,101.00650047927469,100.25085744688882,23.183248901444482,92.2,3.040596914291382,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[32, 16]",0.01,swish,he,23.47911828035173,99.6476306762429,1688.1769935708758,99.31462635730826,99.9292037359615,23.472367637834616,44.4,4.141672611236572,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[32, 16]",0.01,swish,xavier,23.42865379056727,99.40204659345555,1691.965910340908,99.20365165189679,100.32616320159649,23.405756011872626,32.0,2.0143546581268312,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[32, 16]",0.1,relu,he,23.407292240389328,104.3023446558708,1725.48438874473,103.86379250393729,100.3637550717883,23.371242186908734,68.6,3.0013331890106203,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
